familia,parametros,auc,auc_desvio,log_loss,log_loss_desvio,brier,auc_dobras
random forest,"{""n_estimators"": 200, ""min_samples_leaf"": 10, ""max_features"": ""sqrt"", ""max_depth"": null}",0.6609952125286505,0.013294011565305953,0.6354989108167025,0.007879240308666494,0.2229209967428695,"[0.6743090375299543, 0.6628579660852565, 0.6574524158984392, 0.6402456168854355, 0.670111026244167]"
random forest,"{""n_estimators"": 400, ""min_samples_leaf"": 10, ""max_features"": 0.5, ""max_depth"": 8}",0.6624428804919994,0.014533534056174862,0.6334218539173891,0.008552692689211596,0.2220728368230181,"[0.6768672785163764, 0.6639576642615158, 0.6592515645575467, 0.6395902024487199, 0.6725476926758381]"
random forest,"{""n_estimators"": 200, ""min_samples_leaf"": 20, ""max_features"": 0.5, ""max_depth"": null}",0.6623386986198546,0.013654058783866779,0.6334732368703786,0.00860029331890349,0.2221051165176437,"[0.6773965511276678, 0.663082790493067, 0.659166088114821, 0.6413846123672473, 0.6706634509964701]"
random forest,"{""n_estimators"": 200, ""min_samples_leaf"": 10, ""max_features"": ""sqrt"", ""max_depth"": 12}",0.6602492390146412,0.013986767022652273,0.6359043775034503,0.008054404540923715,0.22309346855677664,"[0.6747195115980986, 0.6615704546852381, 0.6572046615805757, 0.6383697704481706, 0.669381796761123]"
random forest,"{""n_estimators"": 400, ""min_samples_leaf"": 5, ""max_features"": 0.3, ""max_depth"": 12}",0.6619401643386741,0.014478816367645914,0.6338382286926815,0.008246112649133996,0.22224688044116797,"[0.6758582540170824, 0.6635447353438234, 0.659887531730727, 0.6386624404801777, 0.6717478601215603]"
random forest,"{""n_estimators"": 200, ""min_samples_leaf"": 2, ""max_features"": 0.3, ""max_depth"": null}",0.6598916803833961,0.013482158114270944,0.6351463293514323,0.008167962073561989,0.22281178934164494,"[0.673934981766759, 0.6602472130763404, 0.6566699009248362, 0.6391887477837173, 0.6694175583653277]"
random forest,"{""n_estimators"": 200, ""min_samples_leaf"": 2, ""max_features"": 0.3, ""max_depth"": 8}",0.6622497679052014,0.01393402104447296,0.6342443789418499,0.008308963293476239,0.22241470618803527,"[0.6768988394207223, 0.6623726212492684, 0.6592656059877741, 0.6408053803214481, 0.6719063925467939]"
random forest,"{""n_estimators"": 400, ""min_samples_leaf"": 20, ""max_features"": 0.3, ""max_depth"": 20}",0.6618486299812159,0.014202711724114777,0.633803935957651,0.008620441833234472,0.22223310095612892,"[0.6768171365240939, 0.663192494659116, 0.6595032383804565, 0.6394060522410824, 0.6703242281013305]"
random forest,"{""n_estimators"": 200, ""min_samples_leaf"": 50, ""max_features"": 0.3, ""max_depth"": null}",0.6602099819169259,0.014289722477295451,0.6354802580470581,0.008870635134825892,0.22289832247865346,"[0.6767495104962574, 0.6604451678435789, 0.6573369027631006, 0.6384555998168719, 0.6680627286648211]"
random forest,"{""n_estimators"": 200, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""max_depth"": 12}",0.6607186461412482,0.013269856823436487,0.6354605307548746,0.007789720955857766,0.22290842581859804,"[0.6726059019717819, 0.6610417128665291, 0.6593748826329527, 0.6394408340583432, 0.6711298991766339]"
